city,date,ts,time,expected_high_f,abs_error_f,actual_bucket_probability,modal_bucket,modal_probability,actual_inside_modal,raw_probability_sum
nyc,2026-03-04,1772582400,2026-03-04T00:00:00Z,49.992682926829275,0.992682926829275,0.26829268292682934,50-51F,0.33658536585365856,False,1.025
nyc,2026-03-04,1772586000,2026-03-04T01:00:00Z,49.80882352941176,0.8088235294117609,0.338235294117647,48-49F,0.338235294117647,True,1.02
nyc,2026-03-04,1772589600,2026-03-04T02:00:00Z,49.50487804878048,0.5048780487804834,0.39024390243902435,48-49F,0.39024390243902435,True,1.0250000000000001
nyc,2026-03-04,1772593200,2026-03-04T03:00:00Z,49.37735849056604,0.37735849056603854,0.37264150943396224,48-49F,0.37264150943396224,True,1.06
nyc,2026-03-04,1772596800,2026-03-04T04:00:00Z,49.63270142180095,0.6327014218009523,0.3459715639810427,48-49F,0.3459715639810427,True,1.055
nyc,2026-03-04,1772600400,2026-03-04T05:00:00Z,49.71226415094339,0.7122641509433905,0.3443396226415094,48-49F,0.3443396226415094,True,1.06
nyc,2026-03-04,1772604000,2026-03-04T06:00:00Z,49.58571428571428,0.5857142857142819,0.33809523809523806,48-49F,0.33809523809523806,True,1.05
nyc,2026-03-04,1772607600,2026-03-04T07:00:00Z,49.64146341463415,0.6414634146341527,0.3463414634146342,48-49F,0.3463414634146342,True,1.025
nyc,2026-03-04,1772611200,2026-03-04T08:00:00Z,49.83990147783251,0.8399014778325125,0.3251231527093596,48-49F,0.3251231527093596,True,1.0150000000000001
nyc,2026-03-04,1772614800,2026-03-04T09:00:00Z,49.83495145631068,0.8349514563106766,0.34466019417475724,48-49F,0.34466019417475724,True,1.03
nyc,2026-03-04,1772618400,2026-03-04T10:00:00Z,49.78817733990147,0.7881773399014733,0.34975369458128075,48-49F,0.34975369458128075,True,1.0150000000000001
nyc,2026-03-04,1772622000,2026-03-04T11:00:00Z,49.616504854368934,0.6165048543689338,0.4029126213592233,48-49F,0.4029126213592233,True,1.03
nyc,2026-03-04,1772625600,2026-03-04T12:00:00Z,49.55479452054795,0.5547945205479508,0.3972602739726028,48-49F,0.3972602739726028,True,1.095
nyc,2026-03-04,1772629200,2026-03-04T13:00:00Z,49.589371980676326,0.5893719806763258,0.3623188405797101,50-51F,0.3913043478260869,False,1.0350000000000001
